timestamp,memory_usage
1743022449.6181338,2002.5703125
1743022450.6200268,2004.3671875
1743022451.621286,2004.4453125
1743022452.622732,2004.48046875
1743022453.6242163,2004.55859375
1743022454.6256506,2004.76171875
1743022455.626517,2004.84765625
1743022456.6279693,2004.84765625
1743022457.6293015,2004.9296875
1743022458.6307786,2005.04296875
1743022459.632268,2005.09765625
1743022460.6337192,2005.09765625
1743022461.6351602,2005.37109375
1743022462.6366365,2005.37109375
1743022463.6374223,2005.63671875
1743022464.6389196,2005.63671875
1743022465.640393,2005.703125
1743022466.6412811,2005.703125
1743022467.6427417,2006.09765625
1743022468.6442118,2006.09765625
1743022469.645297,2006.09765625
1743022470.646754,2006.3828125
1743022471.6473517,2006.3828125
1743022472.6487858,2006.46484375
1743022473.6492712,2006.65625
1743022474.6507006,2006.65625
1743022475.652156,2006.8203125
1743022476.6532798,2006.83984375
1743022477.6547244,2006.92578125
1743022478.656178,2007.0
1743022479.6572976,2007.09375
1743022480.6587222,2007.19140625
1743022481.6601462,2007.296875
1743022482.661266,2007.40625
1743022483.6627235,2007.5703125
1743022484.6641421,2007.66015625
1743022485.6652758,2007.6875
1743022486.6667318,2007.9296875
1743022487.6681674,2007.9296875
1743022488.6692228,2008.015625
1743022489.6706185,2008.1953125
1743022490.6720276,2008.23046875
1743022491.673284,2008.31640625
1743022492.6747193,2004.23046875
1743022493.6761765,2004.23828125
1743022494.6774166,2004.23828125
1743022495.678906,2004.23828125
1743022496.6803575,2004.23828125
1743022497.681298,2004.23828125
1743022498.6827576,2004.9296875
1743022499.6843045,2005.9609375
1743022500.685814,2006.734375
