book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
9962.0,0.315,The Character of Rain,AmÃÂ©lie Nothomb,3.92,14330,1024,"Fiction, France, Contemporary, Japan, Roman, Novels, Belgium"
78.0,0.279,A Gracious Enemy & After the War Volume One,Michael G. Kramer,4.29,6622,19,"Epic, Drama, Novels, Contemporary, Fiction"
5972.0,0.263,Beneath A Blood Red Moon,Shannon Drake,3.98,2235,108,"Paranormal, Paranormal Romance, Romance, Vampires, Fantasy, Fiction, Mystery"
5812.0,0.259,Upload,Mark McClelland,3.73,175,48,"Science Fiction, Cyberpunk, Fiction, Romance, Dystopia, Suspense"
9779.0,0.242,Hearts at Stake,Alyxandra Harvey,3.96,17417,1258,"Vampires, Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Urban Fantasy"
7444.0,0.239,Major Barbara,George Bernard Shaw,3.66,7166,245,"Plays, Drama, Classics, Fiction, Theatre, Literature, Irish Literature"
7033.0,0.234,The Blade Artist,Irvine Welsh,3.82,6925,451,"Fiction, Thriller, Crime, Mystery, Contemporary, Scotland, Novels"
10514.0,0.233,The Road to Serfdom,Friedrich A. Hayek,4.16,22763,1613,"Economics, Politics, Philosophy, Nonfiction, History, Classics, Political Science"
7072.0,0.229,Leading Hybrid and Remote Teams: A Manual on Benchmarking to Best Practices for Competitive Advantage,Gleb Tsipursky,4.43,42,22,"Business, Leadership, Nonfiction"
10846.0,0.216,The Broken Wings,Kahlil Gibran,3.95,23339,3005,"Classics, Poetry, Fiction, Romance, Novels, Philosophy, Literature"
11192.0,0.214,Villa Incognito,Tom Robbins,3.68,18564,770,"Fiction, Humor, Literature, Magical Realism, Novels, Contemporary, American"
11883.0,0.206,Reginald Bones 2,Lucian Bane,4.59,334,136,"Dark, Romance, Erotica, Contemporary"
1731.0,0.2,Mindful Eating with delicious raw vegan recipes,NataÃÂ¡a PantoviÃÂ,4.75,36,7,"Vegetarian, Vegan, Self Help, Nonfiction, Nutrition, Spirituality, Adult"
5533.0,0.196,Byzantium,Stephen R. Lawhead,4.2,5006,368,"Historical Fiction, Fiction, Fantasy, Historical, Christian, Christian Fiction, Adventure"
8204.0,0.181,Theft by Finding: Diaries 1977-2002,David Sedaris,3.94,33079,3506,"Nonfiction, Memoir, Humor, Audiobook, Biography, Essays, Biography Memoir"
8536.0,0.18,Journey to One: A Woman's Story of Emotional Healing and Spiritual Awakening,Kristi Bowman,3.71,7,4,
8791.0,0.179,For Love and Mercy,C. Ingrid Deringer,4.5,16,15,Historical Fiction
7004.0,0.178,Anger: Wisdom for Cooling the Flames,Thich Nhat Hanh,4.07,10825,785,"Buddhism, Nonfiction, Self Help, Spirituality, Philosophy, Psychology, Religion"
5294.0,0.176,Six of Hearts,L.H. Cosway,4.04,16512,2017,"Romance, Contemporary, New Adult, Contemporary Romance, Mystery, Magic, Adult"
11475.0,0.161,Stories Of The Prophets,ÃÂ§ÃÂ¨ÃÂ ÃÂÃÂ«ÃÂÃÂ±,4.5,6095,272,"Islam, Religion, History, Nonfiction, Spirituality, Biography, Reference"
12030.0,0.16,The TyrantÃ¢ÂÂs Tomb,Rick Riordan,4.35,62237,4754,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Greek Mythology"
10394.0,0.16,Howl and Other Poems,Allen Ginsberg,4.13,107765,2535,"Poetry, Classics, Fiction, American, Literature, Queer, LGBT"
11621.0,0.159,Beginner's Luck,Laura Pedersen,3.87,548,88,"Fiction, Young Adult, Chick Lit, Coming Of Age, Contemporary, Adult Fiction, Adult"
