book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
41.0,0.427,The Throne of Fire,Rick Riordan,4.19,199615,7210,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Magic"
3178.0,0.364,Anti-Stepbrother,Tijan,4.14,28476,2302,"Romance, New Adult, College, Contemporary, Contemporary Romance, Young Adult, Humor"
3296.0,0.328,Slider,Stacy Borel,3.92,4099,321,"Romance, New Adult, Sports, Contemporary Romance, Contemporary, Sports Romance, Baseball"
3411.0,0.319,Four Play,Amalie Silver,4.23,87,49,"Romance, Contemporary Romance"
3351.0,0.312,Say Yes,Tara West,4.22,449,38,"Romance, New Adult, Contemporary, Contemporary Romance"
10018.0,0.275,The Midwife of Hope River,Patricia Harman,4.03,16861,1814,"Historical Fiction, Fiction, Historical, Adult Fiction, Adult, Audiobook, Romance"
2494.0,0.257,The Good Spy: The Life and Death of Robert Ames,Kai Bird,3.94,3433,426,"Nonfiction, History, Biography, Espionage, Politics, Biography Memoir, War"
4523.0,0.24,Illusion,Ahmad Mohamad Ali,5.0,1,0,
39.0,0.227,The Red Pyramid,Rick Riordan,4.1,380698,15462,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Childrens"
