Algorithm,avg_similarity,coverage,confidence,diversity_variance,diversity_dissimilarity
bert,0.5360000000,0.1900000000,0.9765400000,0.0006018049,0.4630000000
bow,0.3780000000,0.2200000000,0.9119000000,0.0178139560,0.6210000000
e5,0.8570000000,0.5500000000,0.9935200000,0.0000487410,0.1429000000
fasttext,0.9730000000,0.5300000000,0.9979100000,0.0000068039,0.0264000000
glove,0.9860000000,0.2500000000,0.9987700000,0.0000019924,0.0134000000
lsa,0.6110000000,0.1200000000,0.9623100000,0.0014689289,0.3886000000
tf_idf,0.3630000000,0.0500000000,0.9594500000,0.0017445470,0.6368000000
