book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
12537.0,0.16,The Crossroads Of Should And Must: Find and Follow Your Passion,Elle Luna,3.97,11023.0,969.0,"Nonfiction, Self Help, Personal Development, Art, Psychology, Business, Inspirational"
7739.0,0.16,Autobiography of Red,Anne Carson,4.28,26424.0,3087.0,"Poetry, Fiction, Mythology, LGBT, Queer, Fantasy, Classics"
7782.0,0.16,The Rise and Fall of the Dinosaurs: A New History of a Lost World,Stephen Brusatte,4.19,28491.0,3667.0,"Nonfiction, Science, History, Dinosaurs, Nature, Animals, Audiobook"
490.0,0.159,One Day,David Nicholls,3.81,317180.0,19154.0,"Fiction, Romance, Contemporary, Chick Lit, Adult, Adult Fiction, Novels"
11612.0,0.159,Hunter,Sarai Henderson,3.79,47.0,40.0,"Young Adult, Fantasy, Paranormal, Urban Fantasy, Young Adult Paranormal"
12497.0,0.159,The Day of the Locust,Nathanael West,3.72,21991.0,1097.0,"Fiction, Classics, Literature, Novels, American, 20th Century, Literary Fiction"
5581.0,0.159,Dangerous,Minerva Spencer,3.97,2272.0,380.0,"Historical Romance, Romance, Historical, Historical Fiction, Regency, Regency Romance, Fiction"
13145.0,0.159,Sleeping Murder,Agatha Christie,3.97,41748.0,2580.0,"Mystery, Fiction, Crime, Classics, Detective, Mystery Thriller, British Literature"
9252.0,0.158,The Finder,Eva Shaw,4.33,24.0,19.0,"Mystery, Historical Fiction, Fiction"
737.0,0.157,The Evolution of Mara Dyer,Michelle Hodkin,4.26,95778.0,9760.0,"Young Adult, Paranormal, Fantasy, Romance, Mystery, Fiction, Supernatural"
11993.0,0.157,Why Orwell Matters,Christopher Hitchens,3.96,3883.0,280.0,"Nonfiction, Biography, Politics, History, Philosophy, Essays, Literary Criticism"
12260.0,0.157,Because of Winn-Dixie,Kate DiCamillo,4.08,247310.0,10798.0,"Fiction, Childrens, Middle Grade, Realistic Fiction, Young Adult, Classics, Animals"
13060.0,0.157,The Gods of Mars,Edgar Rice Burroughs,3.88,18754.0,1017.0,"Science Fiction, Fantasy, Fiction, Classics, Adventure, Pulp, Science Fiction Fantasy"
235.0,0.156,Deception Point,Dan Brown,3.75,654773.0,10728.0,"Fiction, Thriller, Mystery, Suspense, Mystery Thriller, Adventure, Science Fiction"
79.0,0.156,The Serpent's Shadow,Rick Riordan,4.28,154436.0,6479.0,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Magic"
1463.0,0.155,Kiss Her Once for Me,Alison Cochrun,3.9,33501.0,6247.0,"Romance, LGBT, Christmas, Contemporary, Queer, Lesbian, Holiday"
8579.0,0.155,Into the red,Kelly Whitley,4.65,17.0,6.0,
9695.0,0.154,The Miracle in the Atom,Harun Yahya,3.94,78.0,5.0,Islam
11268.0,0.153,The Snow Gypsy,Lindsay Ashford,4.03,19845.0,1189.0,"Historical Fiction, Fiction, Historical, Spain, War, World War II, Amazon"
6043.0,0.153,Summer Boys,Hailey Abbott,3.69,6759.0,287.0,"Young Adult, Romance, Contemporary, Chick Lit, High School, Teen, Fiction"
10515.0,0.153,How We Decide,Jonah Lehrer,3.84,40392.0,1540.0,"Nonfiction, Psychology, Science, Business, Self Help, Neuroscience, Economics"
