book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
72.0,0.352,A Gracious Enemy,Michael G. Kramer,4.33,1491,10,"War, History, Nonfiction, Epic, Contemporary"
11682.0,0.251,A Christmas Carol / The Chimes / The Cricket on the Hearth,Charles Dickens,4.14,57896,545,"Classics, Fiction, Christmas, Short Stories, Literature, Fantasy, Victorian"
10515.0,0.237,How We Decide,Jonah Lehrer,3.84,40392,1540,"Nonfiction, Psychology, Science, Business, Self Help, Neuroscience, Economics"
7351.0,0.226,The Sign of Four,Arthur Conan Doyle,3.91,147976,7178,"Classics, Mystery, Fiction, Crime, Detective, Audiobook, Mystery Thriller"
12189.0,0.22,Around the World in Eighty Days,Jules Verne,3.94,236048,10278,"Classics, Fiction, Adventure, Science Fiction, France, Travel, Fantasy"
5973.0,0.218,Missing Pieces,Meredith Tate,4.01,326,63,"Dystopia, New Adult, Romance, Young Adult, Fiction, Abuse, High School"
12071.0,0.213,Fever Dream,Douglas Preston,4.12,33868,1712,"Mystery, Thriller, Fiction, Suspense, Mystery Thriller, Crime, Horror"
9593.0,0.209,The Ladies of Covington Send Their Love,Joan Medlicott,3.93,1955,185,"Fiction, Chick Lit, Womens Fiction, Adult, Romance, Southern, Book Club"
1345.0,0.205,Rock the Boat: How to Use Conflict to Heal and Deepen Your Relationship,Resmaa Menakem,4.4,93,14,"Relationships, Psychology, Nonfiction, Self Help, Marriage, Counselling"
5813.0,0.205,The Timekeeper,Jordana Barber,3.49,45,12,"Fantasy, Paranormal, Young Adult, Dragons"
12267.0,0.204,The Essential Rumi,Rumi,4.39,45924,1330,"Poetry, Classics, Spirituality, Philosophy, Religion, Nonfiction, Islam"
7073.0,0.201,From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,4.15,206861,8709,"Fiction, Childrens, Young Adult, Middle Grade, Mystery, Classics, Realistic Fiction"
10980.0,0.199,Six Thinking Hats,Bono Edward De,3.72,12449,813,"Business, Nonfiction, Psychology, Self Help, Personal Development, Management, Leadership"
10460.0,0.198,The Wretched of the Earth,Frantz Fanon,4.3,24396,1347,"Nonfiction, Politics, History, Philosophy, Theory, Race, Africa"
12252.0,0.197,Du cÃÂ´tÃÂ© de chez Swann,Marcel Proust,4.14,55429,4800,"Classics, Fiction, France, Literature, French Literature, Novels, Philosophy"
11193.0,0.197,The Happiness Advantage: The Seven Principles of Positive Psychology That Fuel Success and Performance at Work,Shawn Achor,4.14,36686,2762,"Nonfiction, Psychology, Self Help, Business, Personal Development, Leadership, Audiobook"
741.0,0.193,The Castle of Llyr,Lloyd Alexander,4.07,37062,1238,"Fantasy, Young Adult, Fiction, Childrens, Middle Grade, Adventure, Classics"
1732.0,0.192,Inkdeath,Cornelia Funke,3.96,84477,3470,"Fantasy, Young Adult, Fiction, Middle Grade, Childrens, Adventure, Magic"
12678.0,0.192,The Devil Colony,James Rollins,4.18,26117,1300,"Thriller, Fiction, Adventure, Mystery, Action, Suspense, Mystery Thriller"
2094.0,0.191,The Dread,Gail Z. Martin,4.15,1804,49,"Fantasy, Epic Fantasy, Magic, Fiction, High Fantasy, Science Fiction Fantasy, Dark Fantasy"
6196.0,0.19,The Time Between,Karen   White,4.09,12921,1359,"Fiction, Historical Fiction, Romance, Chick Lit, Mystery, Contemporary, Womens Fiction"
453.0,0.189,The Dragon God,Brae Wyckoff,4.45,49,14,"Fantasy, Dragons"
9328.0,0.184,Another Roadside Attraction,Tom Robbins,3.98,34310,1053,"Fiction, Humor, Novels, Literature, Contemporary, Magical Realism, American"
924.0,0.18,The Interpretation of Dreams,Sigmund Freud,3.84,71308,1319,"Psychology, Nonfiction, Philosophy, Classics, Science, Psychoanalysis, Theory"
