Algorithm,avg_cpu_time,avg_gpu_memory_usage,avg_memory_usage,avg_elapsed_time
bert,27.757,563.78,1141.38,21.217
bow,0.275,1.0,202.89,3.722
e5,106.777,1732.01,1200.35,100.955
fasttext,11.821,1.0,1193.43,13.373
glove,3.21,1.0,344.33,4.646
lsa,2.041,1.0,424.85,3.501
tf_idf,1.729,1.0,193.64,3.973
