file,avg_similarity,coverage,confidence,diversity_variance,diversity_dissimilarity
glove_multi_performance_results_70.csv,0.9952999999999997,10.71,0.9993255066905757,4.1000000000000063e-07,0.0047000000000000045
glove_multi_performance_results_71.csv,0.9953,19.29,0.9995171873291373,2.1000000000000037e-07,0.0047000000000000045
glove_multi_performance_results_72.csv,0.9932000000000002,3.96,0.9992118110940469,5.600000000000011e-07,0.006800000000000006
glove_multi_performance_results_73.csv,0.9962,14.98,0.9995785406814958,1.6000000000000027e-07,0.0038000000000000035
glove_multi_performance_results_74.csv,0.9963000000000001,39.62,0.9995171873291373,2.1000000000000037e-07,0.003700000000000003
glove_multi_performance_results_75.csv,0.9959999999999999,27.02,0.9995288175967241,2.0000000000000036e-07,0.0040000000000000036
glove_multi_performance_results_76.csv,0.9951999999999999,29.19,0.9995785406814958,1.600000000000003e-07,0.004800000000000004
glove_multi_performance_results_77.csv,0.9964999999999999,40.24,0.9994732313547585,2.5000000000000047e-07,0.003500000000000003
glove_multi_performance_results_78.csv,0.9945999999999999,13.07,0.9994838687495372,2.400000000000004e-07,0.005400000000000005
glove_multi_performance_results_79.csv,0.9964000000000001,17.12,0.9994838687495372,2.400000000000004e-07,0.0036000000000000034
