file,avg_similarity,coverage,confidence,diversity_variance,diversity_dissimilarity
fasttext_multi_performance_results_70.csv,0.9737000048160553,16.46,0.9981745535894079,3.0100083258234393e-06,0.026299995183944692
fasttext_multi_performance_results_71.csv,0.9724000036716461,13.26,0.9973321674485487,6.439912853615173e-06,0.02759999632835387
fasttext_multi_performance_results_72.csv,0.9662999987602234,3.41,0.9961263377089175,1.3609970226582458e-05,0.03370000123977661
fasttext_multi_performance_results_73.csv,0.9823000013828278,16.42,0.9979467207188659,3.8099901104615955e-06,0.017699998617172176
fasttext_multi_performance_results_74.csv,0.9745000004768372,24.89,0.9991508687169246,6.500249867259167e-07,0.025499999523162807
fasttext_multi_performance_results_75.csv,0.9568999946117401,10.07,0.9984784257256418,2.0900248624754304e-06,0.043100005388259865
fasttext_multi_performance_results_76.csv,0.9642999947071076,18.13,0.9979467239244442,3.8099781896862093e-06,0.03570000529289247
fasttext_multi_performance_results_77.csv,0.977999997138977,30.66,0.9987543293191966,1.4000116350133318e-06,0.02200000286102295
fasttext_multi_performance_results_78.csv,0.963100004196167,6.31,0.9956866203533431,1.689011226687864e-05,0.036899995803832984
fasttext_multi_performance_results_79.csv,0.9686000049114227,13.58,0.9969833252576364,8.23993326211082e-06,0.03139999508857731
