algorithm,avg_rating,avg_no_of_ratings,avg_no_of_reviews,avg_weighted_rating,avg_genre_alignment
bert,4.015575242027053,65660.63213249216,3951.77345206183,4.03309912574745,0.144236441440875
bow,4.06142453984794,72303.59266131106,3909.992579884494,4.052487475983187,0.21496625731705973
fasttext,4.011567195134569,68133.97208921335,3929.7250401242222,4.029284613822182,0.133819735095424
glove,4.0144181414539855,68380.64785706652,3911.6272279378545,4.0301195467708535,0.12956687695733443
lsa,4.030724582758063,58405.047292505995,3601.5294279129675,4.034983923410659,0.14946295724021424
tf_idf,4.058067321451388,47547.45608900786,2849.365286916299,4.037092412398975,0.15590628698903347
