book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
4689.0,0.997,How to Resist Prince Charming,Linda Kage,3.79,1592.0,128.0,"Romance, New Adult, Contemporary, Contemporary Romance, Adult, Erotica, Erotic Romance"
12361.0,0.997,Asterix the Gaul,RenÃÂ© Goscinny,4.18,28110.0,739.0,"Comics, Graphic Novels, Bande DessinÃÂ©e, Fiction, Humor, France, Historical Fiction"
189.0,0.997,Dreams of Winter,Christian Warren Freed,4.35,548.0,32.0,"Contemporary, Epic, Fantasy, Fiction, Drama"
6489.0,0.997,Children of the Mind,Orson Scott Card,3.77,105798.0,2694.0,"Science Fiction, Fiction, Fantasy, Science Fiction Fantasy, Young Adult, Space, Audiobook"
4600.0,0.996,Red and Her Wolf,Marie Hall,3.94,2765.0,238.0,"Romance, Fantasy, Paranormal Romance, Paranormal, Fairy Tales, Magic, Werewolves"
2233.0,0.996,The Falcon at the Portal,Elizabeth Peters,4.24,10524.0,444.0,"Mystery, Historical Fiction, Fiction, Historical, Egypt, Historical Mystery, Adventure"
340.0,0.996,Tell the Wolves I'm Home,Carol Rifka Brunt,4.03,139621.0,15640.0,"Fiction, Young Adult, Historical Fiction, Contemporary, Coming Of Age, LGBT, Adult"
6830.0,0.996,Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.85,551013.0,4705.0,"Fiction, Chick Lit, Contemporary, Adult Fiction, Southern, Adult, Historical Fiction"
11881.0,0.996,Lady Sings the Blues,Billie Holiday,4.04,5970.0,449.0,"Music, Nonfiction, Biography, Memoir, Autobiography, Jazz, History"
3628.0,0.996,Apprentice,Rachel E. Carter,3.99,14943.0,1002.0,"Fantasy, Young Adult, Magic, Romance, Young Adult Fantasy, Fiction, High Fantasy"
5150.0,0.996,The Millennial Reincarnations,Daniel M.  Harrison,3.83,40.0,17.0,"Novels, Psychology"
4697.0,0.996,Marrying My Billionaire Boss,Nadia Lee,3.91,8543.0,499.0,"Romance, Contemporary, Contemporary Romance, Fiction, Adult, Audiobook, Humor"
10802.0,0.996,Introvert Power: Why Your Inner Life Is Your Hidden Strength,Laurie A. Helgoe,3.84,5653.0,402.0,"Nonfiction, Psychology, Self Help, Personal Development, Philosophy, Relationships, Health"
12015.0,0.996,Gifted Hands: The Ben Carson Story,Ben Carson,4.17,20154.0,2207.0,"Nonfiction, Biography, Memoir, Medical, Autobiography, Medicine, Christian"
4253.0,0.996,The Carrie Diaries,Candace Bushnell,3.56,38157.0,2575.0,"Young Adult, Chick Lit, Fiction, Romance, Contemporary, Teen, High School"
4757.0,0.996,Miracle,Johnathon Nicolaou,4.51,152.0,21.0,
1709.0,0.996,Year of Yes,Shonda Rhimes,4.06,86647.0,8901.0,"Nonfiction, Memoir, Audiobook, Self Help, Biography, Personal Development, Biography Memoir"
2332.0,0.996,Double Dexter,Jeff Lindsay,3.83,15193.0,1086.0,"Fiction, Mystery, Thriller, Crime, Horror, Audiobook, Mystery Thriller"
7281.0,0.996,The Polymorph,Max Nowaz,4.38,737.0,13.0,
12753.0,0.996,Happier: Learn the Secrets to Daily Joy and Lasting Fulfillment,Tal Ben-Shahar,3.82,8063.0,539.0,"Nonfiction, Psychology, Self Help, Personal Development, Philosophy, Audiobook, Health"
41.0,0.996,The Throne of Fire,Rick Riordan,4.19,199615.0,7210.0,"Fantasy, Mythology, Young Adult, Middle Grade, Fiction, Adventure, Magic"
5095.0,0.996,Day by Day Armageddon,J.L. Bourne,4.01,17684.0,1137.0,"Zombies, Horror, Post Apocalyptic, Fiction, Apocalyptic, Science Fiction, Dystopia"
11615.0,0.996,Chill Factor,Sandra       Brown,4.02,23761.0,1591.0,"Romance, Mystery, Romantic Suspense, Suspense, Thriller, Fiction, Mystery Thriller"
5299.0,0.996,The Swan Thieves,Elizabeth Kostova,3.57,34010.0,4546.0,"Fiction, Historical Fiction, Mystery, Art, Historical, Contemporary, Romance"
4045.0,0.995,Beautiful Torment,Paige Laurens,3.92,1228.0,111.0,"Romance, New Adult, Contemporary Romance, Erotica, Contemporary, High School, Young Adult"
4952.0,0.995,The Legend of the Firewalker,Steve Bevil,3.68,1931.0,126.0,"Fantasy, Paranormal, Young Adult, Fiction, Magic, Urban Fantasy, Angels"
894.0,0.995,The Spark,Sylvie Stewart,4.3,1740.0,222.0,"Romance, Contemporary, New Adult, Contemporary Romance, Humor, Chick Lit, Fiction"
4076.0,0.995,Soul Screamers Volume Four,Rachel Vincent,4.41,694.0,82.0,"Urban Fantasy, Demons, Supernatural, High School, Young Adult Fantasy, Love Story, Young Adult"
6283.0,0.995,Out of Egypt,Anne Rice,3.6,14619.0,1381.0,"Fiction, Historical Fiction, Religion, Christian, Historical, Christian Fiction, Christianity"
4808.0,0.995,Existence,Abbi Glines,3.93,61627.0,3693.0,"Paranormal, Young Adult, Romance, Fantasy, Paranormal Romance, Supernatural, Ghosts"
807.0,0.995,Can't We Talk about Something More Pleasant?,Roz Chast,4.14,29093.0,4447.0,"Graphic Novels, Memoir, Nonfiction, Comics, Humor, Biography, Biography Memoir"
2797.0,0.995,Honor Student,Teresa Mummert,3.3,15741.0,901.0,"BDSM, Romance, Erotica, Contemporary, Erotic Romance, Contemporary Romance, College"
12296.0,0.995,Trouble on Main Street,Kirsten Fullmer,4.27,4185.0,65.0,"Mystery, Cozy Mystery, Romance, Fiction, Contemporary, Epic, Suspense"
