timestamp,memory_usage
1742745117.458503,1142.7109375
1742745118.4603882,1143.2890625
1742745119.4614375,1143.2890625
1742745120.4629366,1143.2890625
1742745121.4644303,1143.4140625
1742745122.4659648,1143.4140625
1742745123.4674764,1143.4140625
1742745124.4681654,1143.4765625
1742745125.468903,1143.4765625
1742745126.4704053,1143.61328125
1742745127.4718757,1143.73046875
1742745128.4729161,1143.73046875
1742745129.4743958,1143.73046875
1742745130.4758575,1143.73046875
1742745131.4773035,1143.73046875
1742745132.4785757,1143.73046875
1742745133.480047,1143.73046875
1742745134.4809027,1143.73046875
1742745135.4823604,1143.73046875
1742745136.4838238,1143.73046875
1742745137.484871,1143.73046875
