book_index,similarity_score,title,author,rating,no_of_ratings,no_of_reviews,genres
5294.0,0.496,Six of Hearts,L.H. Cosway,4.04,16512.0,2017.0,"Romance, Contemporary, New Adult, Contemporary Romance, Mystery, Magic, Adult"
7444.0,0.487,Major Barbara,George Bernard Shaw,3.66,7166.0,245.0,"Plays, Drama, Classics, Fiction, Theatre, Literature, Irish Literature"
72.0,0.465,A Gracious Enemy,Michael G. Kramer,4.33,1491.0,10.0,"War, History, Nonfiction, Epic, Contemporary"
6274.0,0.428,The Clockwork Dynasty,Daniel H. Wilson,3.65,4998.0,839.0,"Science Fiction, Fantasy, Steampunk, Fiction, Historical Fiction, Historical, Adult"
938.0,0.412,Answering the Call - A Daily Devotional for Paramedics and First Responders,Pat Patterson,4.45,20.0,4.0,
5972.0,0.41,Beneath A Blood Red Moon,Shannon Drake,3.98,2235.0,108.0,"Paranormal, Paranormal Romance, Romance, Vampires, Fantasy, Fiction, Mystery"
9230.0,0.41,The Honor of the Queen,David Weber,4.22,28050.0,799.0,"Science Fiction, Space Opera, Fiction, Military Fiction, Military Science Fiction, Space, Science Fiction Fantasy"
7072.0,0.409,Leading Hybrid and Remote Teams: A Manual on Benchmarking to Best Practices for Competitive Advantage,Gleb Tsipursky,4.43,42.0,22.0,"Business, Leadership, Nonfiction"
7033.0,0.403,The Blade Artist,Irvine Welsh,3.82,6925.0,451.0,"Fiction, Thriller, Crime, Mystery, Contemporary, Scotland, Novels"
13292.0,0.399,,,,,,
5210.0,0.39,Kiss of Snow,Nalini Singh,4.45,31005.0,2266.0,"Paranormal Romance, Paranormal, Romance, Fantasy, Shapeshifters, Urban Fantasy, Adult"
10900.0,0.384,Darwin's Dangerous Idea: Evolution and the Meanings of Life,Daniel C. Dennett,4.06,16221.0,341.0,"Science, Philosophy, Nonfiction, Evolution, Biology, History, Psychology"
8007.0,0.382,"Dear Ijeawele, or A Feminist Manifesto in Fifteen Suggestions",Chimamanda Ngozi Adichie,4.51,78694.0,9652.0,"Nonfiction, Feminism, Essays, Audiobook, Womens, Parenting, Africa"
11430.0,0.38,A Lua de Joana,Maria Teresa Maia Gonzalez,3.78,7626.0,229.0,"Portuguese Literature, Young Adult, Fiction, Childrens, Contemporary, Portugal, Classics"
11251.0,0.373,Silent Pantheon,Eric Nierstedt,4.11,79.0,21.0,
9779.0,0.37,Hearts at Stake,Alyxandra Harvey,3.96,17417.0,1258.0,"Vampires, Young Adult, Paranormal, Fantasy, Romance, Paranormal Romance, Urban Fantasy"
12070.0,0.367,Discourse on the Origin of Inequality,Jean-Jacques Rousseau,3.8,16026.0,729.0,"Philosophy, Nonfiction, Politics, Classics, France, Sociology, History"
7428.0,0.362,Total Control,David Baldacci,4.12,41960.0,1238.0,"Thriller, Fiction, Mystery, Suspense, Crime, Mystery Thriller, Adventure"
13316.0,0.354,,,,,,
9105.0,0.35,Single Girl Summer,Deanna Kimberly Burrell,4.07,215.0,41.0,"Chick Lit, Fiction, African American, Humor"
409.0,0.35,Ivanhoe,Walter Scott,3.76,93091.0,2940.0,"Classics, Fiction, Historical Fiction, Adventure, Historical, Literature, Romance"
1235.0,0.347,The Emissary,Kristal Shaff,3.87,505.0,38.0,"Fantasy, Young Adult, Magic, Epic Fantasy, High Fantasy, Teen, Mystery"
7975.0,0.345,The Whole Truth,David Baldacci,4.06,37140.0,1833.0,"Fiction, Thriller, Mystery, Suspense, Crime, Mystery Thriller, Action"
5600.0,0.342,The Caves of Steel,Isaac Asimov,4.19,95547.0,3670.0,"Science Fiction, Fiction, Mystery, Classics, Science Fiction Fantasy, Robots, Crime"
9536.0,0.339,Death on the Ice: The Great Newfoundland Sealing Disaster of 1914,Cassie Brown,4.03,763.0,88.0,"Nonfiction, History, Survival, Canada, Historical, Classics, School"
12807.0,0.339,Our Mutual Friend,Charles Dickens,4.09,28742.0,1811.0,"Classics, Fiction, Literature, Victorian, 19th Century, British Literature, Historical Fiction"
1239.0,0.337,MADAM PRESIDENT,Jerry Beller,4.48,31.0,18.0,
6378.0,0.337,Making History,Stephen Fry,3.93,10972.0,738.0,"Fiction, Science Fiction, Alternate History, Historical Fiction, Time Travel, Humor, Fantasy"
5533.0,0.335,Byzantium,Stephen R. Lawhead,4.2,5006.0,368.0,"Historical Fiction, Fiction, Fantasy, Historical, Christian, Christian Fiction, Adventure"
12627.0,0.335,Shangri-La Trailer Park,John Zunski,3.77,44.0,13.0,"Fiction, Humor"
9364.0,0.334,Loving Mr. Daniels,Brittainy C. Cherry,4.21,35632.0,4548.0,"Romance, New Adult, Contemporary, Contemporary Romance, Young Adult, High School, Fiction"
8311.0,0.333,Sister Pelagia and the White Bulldog,Boris Akunin,3.74,3826.0,205.0,"Mystery, Historical Fiction, Russia, Fiction, Crime, Historical Mystery, Detective"
12933.0,0.332,Rhesus X: Blood Is Thicker Than Water,Roger David Francis,4.24,17.0,6.0,"Horror, Science Fiction"
10602.0,0.332,The Influence of Military Strategies to Business,M.D. White,4.05,409.0,17.0,"Business, Contemporary, Nonfiction, Adult, Management, Education, New Adult"
12393.0,0.33,Without MAlice,Amesbury Clarke,4.01,332.0,26.0,"Mental Illness, Coming Of Age, Modern Classics, Mystery, Thriller, Literature"
10496.0,0.33,The Tainted Trust,Stephen Douglass,3.86,1531.0,15.0,"Thriller, Fiction"
6996.0,0.329,"Queen of the Road: The True Tale of 47 States, 22,000 Miles, 200 Shoes, 2 Cats, 1 Poodle, a Husband, and a Bus with a Will of Its Own",Doreen Orion,3.49,1727.0,363.0,"Travel, Nonfiction, Memoir, Humor, Biography, Adventure, Book Club"
1810.0,0.325,Lies a River Deep,Vera Jane Cook,4.23,153.0,13.0,"Contemporary, Fiction"
6269.0,0.323,Stupid Girl,Cindy Miles,3.91,6925.0,607.0,"New Adult, Romance, College, Contemporary, Sports, Contemporary Romance, Young Adult"
1806.0,0.321,The Revenge of the Shadow King,Derek Benz,3.88,5114.0,314.0,"Fantasy, Young Adult, Fiction, Middle Grade, Magic, Adventure, Urban Fantasy"
8042.0,0.32,That Old Cape Magic,Richard Russo,3.34,17614.0,2463.0,"Fiction, Literary Fiction, Contemporary, Family, Audiobook, Academia, Novels"
11950.0,0.32,Gone to Soldiers,Marge Piercy,4.27,4833.0,410.0,"Historical Fiction, Fiction, World War II, War, Historical, Holocaust, Literature"
9275.0,0.32,Black Venus,Angela Carter,3.91,2088.0,221.0,"Short Stories, Fiction, Fantasy, Historical Fiction, Horror, Magical Realism, Classics"
12668.0,0.318,The Millennium Trilogy,Stieg Larsson,4.46,54323.0,1890.0,"Fiction, Mystery, Thriller, Crime, Suspense, Novels, Contemporary"
12251.0,0.317,Predator & Prey,Tom Sechrist,4.56,118.0,5.0,Fantasy
10459.0,0.317,The Misanthrope,MoliÃÂ¨re,3.77,22361.0,613.0,"Plays, Classics, France, Drama, Fiction, Theatre, French Literature"
12266.0,0.316,The Eden Paradox,Barry Kirwan,4.2,6331.0,148.0,"Science Fiction, Fiction, Space Opera, Dystopia, Contemporary, Novels, Drama"
51.0,0.316,Ulysses,James Joyce,3.75,124165.0,8960.0,"Classics, Fiction, Literature, Novels, Ireland, Irish Literature, 20th Century"
6546.0,0.314,A Wizard Alone,Diane Duane,4.03,6628.0,175.0,"Fantasy, Young Adult, Fiction, Magic, Urban Fantasy, Science Fiction, Science Fiction Fantasy"
9464.0,0.313,L.A. Confidential,James Ellroy,4.18,34090.0,1090.0,"Fiction, Crime, Mystery, Noir, Thriller, Historical Fiction, Detective"
1696.0,0.313,Rework,Jason Fried,3.97,162800.0,4894.0,"Business, Nonfiction, Entrepreneurship, Management, Self Help, Productivity, Leadership"
2189.0,0.313,The Ranchers Take a Wife,Marla Monroe,3.64,252.0,13.0,"Menage, Erotica, Science Fiction, M F M, Science Fiction Romance, M F Romance, Adult"
10514.0,0.313,The Road to Serfdom,Friedrich A. Hayek,4.16,22763.0,1613.0,"Economics, Politics, Philosophy, Nonfiction, History, Classics, Political Science"
3466.0,0.312,Book of the Anointed,J. Moon,3.86,22.0,3.0,Fantasy
9799.0,0.311,The Wife Stalker,Liv Constantine,3.71,31706.0,3539.0,"Thriller, Mystery, Fiction, Mystery Thriller, Audiobook, Suspense, Psychological Thriller"
10449.0,0.31,Animal Liberation,Peter Singer,4.3,10001.0,856.0,"Philosophy, Nonfiction, Animals, Vegan, Politics, Food, Science"
7011.0,0.31,Vampire Academy,Richelle Mead,4.11,630929.0,25705.0,"Young Adult, Fantasy, Vampires, Paranormal, Romance, Urban Fantasy, Fiction"
10483.0,0.308,Last Chance to See,Douglas Adams,4.31,24311.0,1411.0,"Nonfiction, Science, Travel, Nature, Humor, Animals, Environment"
1983.0,0.307,Customers for Life: How to Turn That One-Time Buyer Into a Lifetime Customer,Carl Sewell,4.18,1248.0,94.0,"Business, Nonfiction, Management, Entrepreneurship, Buisness, Leadership, Psychology"
7101.0,0.306,In the Woods,Tana French,3.79,383600.0,26605.0,"Mystery, Fiction, Thriller, Crime, Mystery Thriller, Ireland, Suspense"
6101.0,0.306,The Best of Me,Nicholas Sparks,3.97,170518.0,11568.0,"Romance, Fiction, Chick Lit, Contemporary, Adult, Audiobook, Adult Fiction"
