algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,book_title,description,similarity_score,recommended_description
tf_idf,4.82628321647644,70.0,13263.0,2755.122133129785,,,,,
tf_idf,3.8603062629699707,47.0,13263.0,3443.307326749735,,,,,
tf_idf,3.868715763092041,23.0,13263.0,3432.7930897681094,,,,,
tf_idf,3.8384511470794678,9.0,13263.0,3458.0767701125583,,,,,
tf_idf,3.94075345993042,101.0,13263.0,3379.347054578325,,,,,
tf_idf,3.8556573390960693,81.0,13263.0,3451.793390239977,,,,,
tf_idf,3.860468864440918,68.0,13263.0,3445.594052195289,,,,,
tf_idf,3.8711700439453125,12.0,13263.0,3429.234387563953,,,,,
tf_idf,3.9808731079101562,39.0,13263.0,3337.9003854701477,,,,,
tf_idf,3.8289973735809326,9.0,13263.0,3466.550765205957,,,,,
