algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second
tf_idf,16.035474061965942,67,45163,2819.5683181295108
tf_idf,15.26703429222107,58,45086,2956.1748289667457
tf_idf,15.07306957244873,34,45104,2994.5791028718154
tf_idf,15.168726921081543,267,45355,3000.452402532597
tf_idf,15.012823343276978,53,45127,3008.7711565328223
tf_idf,15.197115182876587,42,45088,2969.2708728463563
tf_idf,15.162126302719116,49,45401,2997.0894037194985
tf_idf,15.102552890777588,112,45194,2997.4065018467686
tf_idf,15.019222497940063,35,45231,3013.7782535747724
tf_idf,15.01702880859375,48,44856,2989.6825947104717
