algorithm,elapsed_time,iterations_done,total_iterations,iterations_per_second,book_index,similarity_score,,book_title,recommended_description
,,,,,7724.0,0.458,,The Austen Escape,"After years of following her best friendÃ¢ÂÂs lead, Mary Davies finds a whimsical trip back to AustenÃ¢ÂÂs Regency England paves the way towards a new future.Mary Davies lives and works in Austin, Texas, as an industrial engineer. She has an orderly and productive life, a job and colleagues that she enjoysÃ¢ÂÂparticularly a certain adorable, intelligent, and hilarious consultant. But something is missing for Mary. When her estranged and emotionally fragile childhood friend Isabel Dwyer offers Mary a two-week stay in a gorgeous manor house in Bath, Mary reluctantly agrees to come along, in hopes that the holiday will shake up her quiet life in just the right ways. But Mary gets more than she bargained for when Isabel loses her memory and fully believes that she lives in Regency England. Mary becomes dependent on a household of strangers to take care of Isabel until she wakes up.With Mary in charge and surrounded by new friends, Isabel rests and enjoys the leisure of a Regency lady. But life gets even more complicated when Mary makes the discovery that her life and IsabelÃ¢ÂÂs have intersected in more ways that she knew, and she finds herself caught between who Isabel was, who she seems to be, and the man who stands between them. Outings are undertaken, misunderstandings play out, and dancing ensues as this triangle works out their lives and hearts among a company of clever, well-informed people who have a great deal of conversation."
,,,,,10706.0,0.45,,The Ascension of Mary,"The Ascension of Mary tells the story of Mary Hester, a 14- year-old violin prodigy, who moves to a new home near Chicago with her mother and discovers a ghost in her bedroom. Mary believes that the ghost is her father who gives her the power to heal others. When Mary begins to help others with her powers, strangers hoping to be healed show up at their house. MaryÃ¢ÂÂs efforts to help them turn tragic and Mary must turn to her family and her music to find answers to the losses in her life. The story is told from alternating perspectives of three main characters. Mary tells her story through her diary as she talks to her imagined father about the changes in her life. MaryÃ¢ÂÂs mother, Rachel, reveals to Mary the secrets of their family, and her history with MaryÃ¢ÂÂs father who was killed in what appeared to be a racially motivated drive-by shooting. Jonah Culpepper, who lives next door, talks to his dead wife, Esther, about Mary, and how she has given him a reason to live."
,,,,,8965.0,0.442,,The Queen's Fool,"A young woman caught in the rivalry between Queen Mary and her half sister, Elizabeth, must find her true destiny amid treason, poisonous rivalries, loss of faith, and unrequited love.It is winter, 1553. Pursued by the Inquisition, Hannah Green, a fourteen-year-old Jewish girl, is forced to flee Spain with her father. But Hannah is no ordinary refugee. Her gift of ""Sight,"" the ability to foresee the future, is priceless in the troubled times of the Tudor court. Hannah is adopted by the glamorous Robert Dudley, the charismatic son of King Edward's protector, who brings her to court as a ""holy fool"" for Queen Mary and, ultimately, Queen Elizabeth. Hired as a fool but working as a spy; promised in wedlock but in love with her master; endangered by the laws against heresy, treason, and witchcraft, Hannah must choose between the safe life of a commoner and the dangerous intrigues of the royal family that are inextricably bound up in her own yearnings and desires.Teeming with vibrant period detail and peopled by characters seamlessly woven into the sweeping tapestry of history, The Queen's Fool is another rich and emotionally resonant gem from this wonderful storyteller."
,,,,,1152.0,0.437,,The Last Tudor,"The latest novel from #1 New York Times bestselling author Philippa Gregory features one of the most famous girls in history, Lady Jane Grey, and her two sisters, each of whom dared to defy her queen.Jane Grey was queen of England for nine days. Her father and his allies crowned her instead of the dead kingÃ¢ÂÂs half sister Mary Tudor, who quickly mustered an army, claimed her throne, and locked Jane in the Tower of London. When Jane refused to betray her Protestant faith, Mary sent her to the executionerÃ¢ÂÂs block, where Jane transformed her fatherÃ¢ÂÂs greedy power grab into tragic martyrdom.Ã¢ÂÂLearn you to die,Ã¢ÂÂ was the advice Jane wrote to her younger sister Katherine, who has no intention of dying. She intends to enjoy her beauty and her youth and fall in love. But she is heir to the insecure and infertile Queen Mary and then to her half sister, Queen Elizabeth, who will never allow Katherine to marry and produce a Tudor son. When KatherineÃ¢ÂÂs pregnancy betrays her secret marriage, she faces imprisonment in the Tower, only yards from her sisterÃ¢ÂÂs scaffold.Ã¢ÂÂFarewell, my sister,Ã¢ÂÂ writes Katherine to the youngest Grey sister, Mary. A beautiful dwarf, disregarded by the court, Mary keeps family secrets, especially her own, while avoiding ElizabethÃ¢ÂÂs suspicious glare. After seeing her sisters defy their queens, Mary is acutely aware of her own danger but determined to command her own life. What will happen when the last Tudor defies her ruthless and unforgiving Queen Elizabeth?"
,,,,,2076.0,0.424,,Queen of Scots: The True Life of Mary Stuart,"A long-overdue and dramatic reinterpretation of the life of Mary, Queen of Scots by one of the leading historians at work today.She was crowned Queen of Scotland at nine months of age, and Queen of France at sixteen years; at eighteen she ascended the throne that was her birthright and began ruling one of the most fractious courts in Europe, riven by religious conflict and personal lust for power. She rode out at the head of an army in both victory and defeat; saw her second husband assassinated, and married his murderer. At twenty-five she entered captivity at the hands of her rival queen, from which only death would release her.The life of Mary Stuart is one of unparalleled drama and conflict. From the labyrinthine plots laid by the Scottish lords to wrest power for themselves, to the efforts made by Elizabeth's ministers to invalidate Mary's legitimate claim to the English throne, John Guy returns to the archives to explode the myths and correct the inaccuracies that surround this most fascinating monarch. He also explains a central mystery: why Mary would have consented to marry Ã¢ÂÂ only three months after the death of her second husband, Lord Darnley Ã¢ÂÂ the man who was said to be his killer, the Earl of Bothwell. And, more astonishingly, he solves, through careful re-examination of the Casket Letters, the secret behind Darnley's spectacular assassination at Kirk o'Field. With great pathos, Guy illuminates how the imprisoned Mary's despair led to a reckless plot against Elizabeth Ã¢ÂÂ and thus to her own execution.The portrait that emerges is not of a political pawn or a manipulative siren, but of a shrewd and charismatic young ruler who relished power and, for a time, managed to hold together a fatally unstable country."
,,,,,8052.0,0.417,,Mary Queen of Scots,"More than 400 years after her death, Mary Queen of Scots remains one of the most romantic & controversial figures in British history. Fraser's classic biography of her won the James Tait Prize when it was 1st published in '69, became an international bestseller & was translated into 9 languages. Mary passed her childhood in France & married the Dauphin to become Queen of France at 16. Widowed less than 2 years later, she returned to Scotland as Queen after a 13 year absence. Her life then entered its best known phase: early struggles with John Knox & the Scottish nobility; marriage to Darnley & his mysterious death; marriage to Bothwell, the chief suspect, that led directly to her captivity at the hands of Queen Elizabeth; her long imprisonment that ended with the labyrinthine Babington plot to free her & her execution at age 44. Fraser's biography, 4 years in the writing, enters fully into the life of an historical figure who continues to capture the popular imagination, & provides an answer to the question, `What was Mary Queen of Scots really like?'  ""Lady Antonia Fraser tells Mary's story movingly, with scholarship, insight & balance. It's the sort of biography of Mary which has long been needed.""--The Scotsman  ""A fluent narrative style, a perfect eye for physical detail, a rich sense of the black comedy that the period demands & a high feeling for the central tragedy""--Sunday Times"
,,,,,4266.0,0.404,,For the Roses,"Alternate-cover edition for ISBN 9780671870980  can be found here 1879. In Blue Belle, Montana, everyone knew better than to mess with the Claybornes. The brothers had once been a mismatched gang of street urchinsÃ¢ÂÂuntil they found an abandoned baby girl in a New York city alley, named her Mary Rose, and headed west to raise her to be a lady. They became a familyÃ¢ÂÂheld together by loyalty and love if not by bloodÃ¢ÂÂwhen suddenly they faced a crisis that threatened to tear them apart....Trouble came to town with one Lord Harrison Stanford MacDonald. Armed with a swagger and six-shooter, he cut a striking figureÃ¢ÂÂbut it soon became apparent to Mary Rose that he was too much of a gentleman to make it in her rough-and-tumble town. She asked her brothers to teach him the basics of frontier survival, which he acquired with ease. And soon he possessed a deep and desperate love for Mary Rose. She returned his affection wholeheartedly... until MacDonald revealed a secret that challenged everything she believed about herself, her life, and her newfound love. Now her search for identity and meaning would begin, raising questions that could only be answered if she listened to the truth within her heart...."
,,,,,6171.0,0.388,,The Bull from the Sea,"The Bull From The Sea Renault, Mary"
,,,,,3846.0,0.376,,Remember Me,"How far must you go to find love?The Queen of Storytellers is back - with a triumphant tale of one woman's struggle over adversity.In 1786 a fisherman's daughter from Cornwall called Mary Broad was sentenced to be hung for theft. But her sentence was commuted, and she was transported to Australia, one of the first convicts to arrive there.How Mary escaped the harsh existence of the colony and found true love, and how she was captured and taken back to London in chains, only to be released after a trial where she was defended by no less than James Boswell, is one of the most gripping and moving stories of human endeavour (based on an amazing true story) you will ever read"
,,,,,9350.0,0.371,,Rush,"Mary Louisa Roberts won the race of a lifetimeÃ¢ÂÂor so she thought. In competition with desperate homesteaders, ruthless land seekers, and a sheriff determined to see her fail, Mary rides out on a horse to strike her claim in the Oklahoma Land Rush of 1893. When she finally thrusts her flag into the dirt, 160 acres becomes her own. But with that claim, she risks more than she could ever imagine. A naÃÂ¯ve school teacher and young mother abandoned by her hard-drinking, gold-seeking husbandÃ¢ÂÂwhom she now believes to be deadÃ¢ÂÂMary is faced with letting go of a past riddled with loss, hardship, and reminders that a woman isn't capable of surviving on her own. Daniel McKenzie, an illustrative journalist sent on assignment to document the race, has his own past to forget. Bound by a lost love and guilt from a haunting event in the streets of Boston, he wonders whether he will ever know happiness again. Will Mary's and Daniel's stubborn and independent spirits keep them mired in the past? Or will two broken hearts find forgiveness and love in the wild plains of the Midwest?"
