timestamp,memory_usage
1743017707.211984,1219.07421875
1743017708.2134,1223.76953125
1743017709.2149253,1223.76953125
1743017710.2164912,1223.76953125
1743017711.2173169,1224.3046875
1743017712.2188213,1224.3046875
1743017713.22038,1224.3046875
1743017714.2213402,1224.3046875
1743017715.2228596,1224.3125
1743017716.2243466,1224.3125
1743017717.2253335,1224.3125
1743017718.2268538,1224.3125
1743017719.228359,1224.3125
1743017720.2293305,1224.3125
1743017721.2307923,1224.3125
1743017722.2322888,1224.3125
1743017723.233332,1224.3125
1743017724.2347782,1224.3125
1743017725.2362635,1224.3125
1743017726.2377365,1224.3125
1743017727.239216,1224.3125
1743017728.2406433,1224.3125
1743017729.2420971,1224.3125
1743017730.2435648,1224.3125
1743017731.2450187,1224.3125
1743017732.2464504,1224.3125
1743017733.247915,1224.3125
1743017734.2493107,1224.3125
1743017735.250777,1224.3125
1743017736.252276,1224.3125
1743017737.253307,1224.3125
1743017738.2547586,1224.3125
1743017739.25621,1224.3125
1743017740.257323,1224.3125
1743017741.2588174,1224.3125
1743017742.2602942,1224.3125
1743017743.2613127,1224.3125
1743017744.2627654,1224.3125
1743017745.2642279,1224.3125
1743017746.2652879,1224.3125
1743017747.2667348,1224.3125
1743017748.2682002,1224.3125
1743017749.2692754,1224.3125
1743017750.2707193,1224.3125
1743017751.2721696,1224.3125
1743017752.2732863,1224.3125
1743017753.27472,1224.3125
1743017754.2761676,1224.3125
1743017755.277317,1224.3125
1743017756.278786,1224.3125
1743017757.2802606,1224.3125
1743017758.2813015,1224.3125
1743017759.2827914,1224.3125
1743017760.2842813,1224.3125
1743017761.2852974,1224.3125
1743017762.2863166,1224.3125
1743017763.2876558,1224.3125
1743017764.2891378,1224.3125
1743017765.2905934,1224.3125
1743017766.2920384,1224.3125
1743017767.2932544,1224.3125
1743017768.2947183,1224.3125
1743017769.2962017,1224.3125
1743017770.297315,1224.3125
1743017771.2987714,1224.3125
1743017772.3002288,1224.3125
1743017773.3012915,1224.3125
1743017774.3027554,1224.3125
1743017775.3042445,1224.3125
1743017776.3057027,1224.3125
1743017777.3071828,1224.3125
1743017778.3086464,1224.3125
1743017779.3094523,1224.3125
1743017780.3109071,1224.3125
1743017781.312363,1224.3125
